DateTime,High,Low,Close
09/18/2013 13:03:08.274,0.0,-0.75,0.0
09/18/2013 13:03:12.373,0.5,-1.0,1.0
09/18/2013 13:03:20.423,0.25,-0.75,0.25
09/18/2013 13:03:25.428,0.0,-0.5,0.0
09/18/2013 13:03:31.359,0.25,-0.5,0.0
09/18/2013 13:03:35.720,0.25,-1.0,0.5
09/18/2013 13:03:40.260,0.5,-0.75,0.5
09/18/2013 13:03:44.669,0.0,-1.0,0.0
09/18/2013 13:03:48.144,0.25,-1.0,0.25
09/18/2013 13:03:52.106,0.25,-0.75,0.25
09/18/2013 13:03:56.455,0.5,-1.0,0.0
09/18/2013 13:03:57.812,0.5,-1.0,0.0
09/18/2013 13:04:01.782,0.5,-0.75,0.75
09/18/2013 13:04:04.839,0.25,-0.5,0.5
09/18/2013 13:04:09.609,0.5,-0.5,0.25
09/18/2013 13:04:16.491,0.25,-0.5,0.5
09/18/2013 13:04:18.946,0.5,-0.75,0.25
09/18/2013 13:04:27.496,0.25,-1.0,0.0
09/18/2013 13:04:32.657,0.0,-0.25,0.25
09/18/2013 13:04:37.176,0.5,-0.75,0.5
09/18/2013 13:04:42.953,0.25,-0.75,0.25
09/18/2013 13:04:49.130,1.0,-1.0,1.0
09/18/2013 13:05:00.987,0.25,-0.75,0.25
09/18/2013 13:05:08.884,0.25,-0.75,0.0
09/18/2013 13:05:13.048,0.5,-0.75,0.0
09/18/2013 13:05:17.136,0.75,-0.75,0.25
09/18/2013 13:05:23.202,0.25,-1.0,0.25
09/18/2013 13:05:28.838,0.0,-0.5,0.5
09/18/2013 13:05:37.496,0.5,-0.5,0.0
09/18/2013 13:05:47.117,1.0,-1.0,1.0
09/18/2013 13:05:50.946,1.0,-1.25,1.25
09/18/2013 13:05:54.751,0.5,-0.75,0.5
09/18/2013 13:05:56.030,1.25,-1.5,1.0
09/18/2013 13:06:00.216,0.5,-1.25,0.0
09/18/2013 13:06:03.976,0.25,-1.5,0.0
09/18/2013 13:06:07.085,0.75,-0.75,0.25
09/18/2013 13:06:16.398,0.5,-0.75,0.0
09/18/2013 13:06:23.430,0.25,-0.5,0.5
09/18/2013 13:06:29.355,1.0,-1.0,1.0
09/18/2013 13:06:36.742,0.5,-0.75,0.5
09/18/2013 13:06:42.164,1.0,-1.0,1.0
09/18/2013 13:06:43.262,0.5,-0.5,0.0
09/18/2013 13:06:45.980,0.5,-0.75,0.25
09/18/2013 13:06:53.788,0.25,-1.25,0.25
09/18/2013 13:06:56.794,0.0,-0.75,0.5
09/18/2013 13:07:05.463,0.75,-0.75,0.5
09/18/2013 13:07:13.658,0.0,-1.0,0.5
09/18/2013 13:07:16.199,0.5,-1.0,0.25
09/18/2013 13:07:23.279,0.75,-0.75,0.0
09/18/2013 13:07:30.238,0.75,-1.0,1.0
09/18/2013 13:07:32.528,0.0,-0.5,0.25
09/18/2013 13:07:42.313,0.25,-0.5,0.5
09/18/2013 13:07:47.489,0.5,-0.5,0.0
09/18/2013 13:07:51.105,0.0,-0.25,0.0
09/18/2013 13:07:53.456,0.25,-0.75,0.75
09/18/2013 13:08:04.820,0.25,-1.0,0.0
09/18/2013 13:08:10.795,0.25,-0.5,0.25
09/18/2013 13:08:16.650,0.25,-0.75,0.25
09/18/2013 13:08:22.768,1.0,-1.0,0.25
09/18/2013 13:08:28.534,0.25,-0.75,0.0
09/18/2013 13:08:32.725,0.25,-0.5,0.0
09/18/2013 13:08:41.148,0.5,-0.75,0.75
09/18/2013 13:08:44.795,0.0,-0.5,0.0
09/18/2013 13:08:51.338,0.5,-0.5,0.25
09/18/2013 13:08:57.676,0.5,-0.75,0.25
09/18/2013 13:09:03.928,0.5,-0.75,0.25
09/18/2013 13:09:13.218,0.25,-0.5,0.25
09/18/2013 13:09:20.678,0.5,-0.75,0.5
09/18/2013 13:09:25.557,1.0,-1.25,1.25
09/18/2013 13:09:27.444,0.5,-0.5,0.25
09/18/2013 13:09:30.746,0.25,-0.5,0.25
09/18/2013 13:09:35.034,0.0,-0.5,0.5
09/18/2013 13:09:44.805,0.25,-0.5,0.5
09/18/2013 13:09:52.321,0.25,-0.5,0.25
09/18/2013 13:09:57.469,0.25,-0.5,0.25
09/18/2013 13:10:04.067,0.25,-0.5,0.25
09/18/2013 13:10:07.415,0.75,-0.75,0.75
09/18/2013 13:10:14.634,0.75,-1.0,1.0
09/18/2013 13:10:14.864,0.25,-0.5,0.0
09/18/2013 13:10:19.310,0.0,-0.5,0.0
09/18/2013 13:10:22.435,0.5,-0.5,0.25
09/18/2013 13:10:25.939,0.5,-0.5,0.5
09/18/2013 13:10:28.467,0.25,-0.25,0.0
09/18/2013 13:10:32.969,0.5,-0.5,0.0
09/18/2013 13:10:36.904,0.5,-1.0,0.75
09/18/2013 13:10:42.313,0.25,-0.5,0.0
09/18/2013 13:10:45.712,0.5,-0.5,0.0
09/18/2013 13:10:50.913,0.5,-0.5,0.25
09/18/2013 13:10:56.588,0.5,-0.5,0.25
09/18/2013 13:11:02.955,0.25,-0.75,0.5
09/18/2013 13:11:06.492,0.75,-1.0,1.0
09/18/2013 13:11:09.623,0.25,-0.5,0.25
09/18/2013 13:11:12.737,0.0,-0.25,0.25
09/18/2013 13:11:15.968,0.0,-0.25,0.25
09/18/2013 13:11:18.057,0.25,-0.75,0.75
09/18/2013 13:11:20.513,0.5,-0.5,0.25
09/18/2013 13:11:21.964,0.5,-0.5,0.25
09/18/2013 13:11:23.538,0.5,-0.75,0.0
09/18/2013 13:11:25.075,0.5,-0.5,0.25
09/18/2013 13:11:27.732,0.25,-0.5,0.0
09/18/2013 13:11:30.424,0.5,-0.5,0.5
09/18/2013 13:11:35.350,0.0,-0.5,0.5
09/18/2013 13:11:35.661,0.75,-0.75,0.5
09/18/2013 13:11:38.339,0.25,-0.5,0.25
09/18/2013 13:11:42.168,0.5,-0.5,0.5
09/18/2013 13:11:42.617,0.5,-0.75,0.5
09/18/2013 13:11:45.313,0.5,-0.5,0.0
09/18/2013 13:11:48.505,0.0,-1.0,0.5
09/18/2013 13:11:49.419,0.5,-1.0,1.0
09/18/2013 13:11:52.635,0.0,-0.5,0.25
09/18/2013 13:11:57.079,0.0,-0.5,0.0
09/18/2013 13:11:58.133,0.5,-0.75,0.75
09/18/2013 13:12:03.289,0.25,-0.5,0.25
09/18/2013 13:12:07.127,0.25,-0.25,0.0
09/18/2013 13:12:11.829,0.75,-1.0,0.75
09/18/2013 13:12:16.402,0.25,-0.5,0.25
09/18/2013 13:12:23.044,0.25,-0.75,0.0
09/18/2013 13:12:24.710,0.0,-0.5,0.5
09/18/2013 13:12:26.645,0.0,-0.75,0.25
09/18/2013 13:12:28.335,0.0,-0.25,0.0
09/18/2013 13:12:30.758,0.25,-0.25,0.0
09/18/2013 13:12:33.414,0.0,-0.25,0.25
